video_id,site,frame_id,pred_count,true_count
video_09,Pescador,29761,1,2
video_09,Pescador,29791,1,2
video_09,Pescador,29821,1,2
video_09,Pescador,29851,1,2
video_09,Pescador,29881,1,2
video_09,Pescador,29911,2,2
video_09,Pescador,29941,2,2
video_09,Pescador,29971,2,2
video_09,Pescador,30001,2,2
video_09,Pescador,30031,2,2
video_09,Pescador,30061,1,3
video_09,Pescador,30091,2,3
video_09,Pescador,30121,2,2
video_09,Pescador,30151,2,2
video_09,Pescador,30181,2,2
video_09,Pescador,30211,2,2
video_09,Pescador,30241,2,2
video_09,Pescador,30271,2,1
video_09,Pescador,30301,2,1
video_09,Pescador,30331,3,1
video_09,Pescador,30361,2,2
video_09,Pescador,30391,3,2
video_09,Pescador,30421,4,2
video_09,Pescador,30451,2,3
video_09,Pescador,30481,2,2
video_09,Pescador,30511,2,1
video_09,Pescador,30541,1,1
video_09,Pescador,30571,1,0
video_09,Pescador,30601,2,1
video_09,Pescador,30631,2,1
video_09,Pescador,30661,2,1
video_09,Pescador,30691,3,1
video_09,Pescador,30721,2,2
video_09,Pescador,30751,1,2
video_09,Pescador,30781,2,2
video_09,Pescador,30811,2,2
video_09,Pescador,30841,1,3
video_09,Pescador,30871,2,3
video_09,Pescador,30901,2,2
video_09,Pescador,30931,2,2
video_09,Pescador,30961,2,3
video_09,Pescador,30991,3,3
video_09,Pescador,31021,3,3
video_09,Pescador,31051,3,2
video_09,Pescador,31081,0,3
video_09,Pescador,31111,1,2
video_09,Pescador,31141,2,2
video_09,Pescador,31171,1,2
video_09,Pescador,31201,1,2
video_09,Pescador,31231,2,2
video_09,Pescador,31261,2,2
video_09,Pescador,31291,2,2
video_09,Pescador,31321,1,2
video_09,Pescador,31351,1,2
video_09,Pescador,31381,0,1
video_09,Pescador,31411,2,1
video_09,Pescador,31441,2,1
video_09,Pescador,31471,2,1
video_09,Pescador,31501,2,1
video_09,Pescador,31531,1,1
video_09,Pescador,31561,1,0
video_09,Pescador,31591,1,1
video_09,Pescador,31621,1,1
video_09,Pescador,31651,1,1
video_09,Pescador,31681,1,2
video_09,Pescador,31711,1,2
video_09,Pescador,31741,1,2
video_09,Pescador,31771,1,1
video_09,Pescador,31801,0,1
video_09,Pescador,31831,1,2
video_09,Pescador,31861,2,2
video_09,Pescador,31891,2,2
video_09,Pescador,31921,1,2
video_09,Pescador,31951,1,2
video_09,Pescador,31981,1,2
video_09,Pescador,32011,2,2
video_09,Pescador,32041,2,2
video_09,Pescador,32071,2,3
video_09,Pescador,32101,2,3
video_09,Pescador,32131,4,3
video_09,Pescador,32161,4,3
video_09,Pescador,32191,2,1
video_09,Pescador,32221,1,1
video_09,Pescador,32251,1,0
video_09,Pescador,32281,2,2
video_09,Pescador,32311,3,2
video_09,Pescador,32341,3,3
video_09,Pescador,32371,2,3
video_09,Pescador,32401,2,3
video_09,Pescador,32431,2,3
video_09,Pescador,32461,2,2
video_09,Pescador,32491,2,2
video_09,Pescador,32521,2,2
video_09,Pescador,32551,3,3
video_09,Pescador,32581,3,4
video_09,Pescador,32611,4,4
video_09,Pescador,32641,4,4
video_09,Pescador,32671,4,4
video_09,Pescador,32701,4,4
video_09,Pescador,32731,4,3
video_09,Pescador,32761,4,2
video_09,Pescador,32791,2,2
video_09,Pescador,32821,2,2
video_09,Pescador,32851,2,2
video_09,Pescador,32881,0,2
video_09,Pescador,32911,2,2
video_09,Pescador,32941,2,1
video_09,Pescador,32971,1,0
video_09,Pescador,33001,1,0
video_09,Pescador,33031,2,0
video_09,Pescador,33061,2,1
video_09,Pescador,33091,2,1
video_09,Pescador,33121,1,0
video_09,Pescador,33151,1,0
video_09,Pescador,33211,1,1
video_09,Pescador,33241,0,1
video_09,Pescador,33271,0,1
video_09,Pescador,33301,0,1
video_09,Pescador,33331,1,0
video_09,Pescador,33361,1,1
video_09,Pescador,33391,1,1
video_09,Pescador,33421,1,1
video_09,Pescador,33451,1,1
video_09,Pescador,33481,2,2
video_09,Pescador,33511,2,2
video_09,Pescador,33541,2,3
video_09,Pescador,33571,2,3
video_09,Pescador,33601,2,2
video_09,Pescador,33631,2,2
video_09,Pescador,33661,1,2
video_09,Pescador,33691,1,2
video_09,Pescador,33721,1,2
video_09,Pescador,33751,2,2
video_09,Pescador,33781,2,3
video_09,Pescador,33811,2,2
video_09,Pescador,33841,2,2
video_09,Pescador,33871,2,2
video_09,Pescador,33901,3,2
video_09,Pescador,33931,3,3
video_09,Pescador,33961,3,3
video_09,Pescador,33991,1,2
video_09,Pescador,34021,2,3
video_09,Pescador,34051,2,3
video_09,Pescador,34081,2,2
video_09,Pescador,34111,2,2
video_09,Pescador,34141,3,2
video_09,Pescador,34171,1,2
video_09,Pescador,34201,2,1
video_09,Pescador,34231,2,1
video_09,Pescador,34261,3,2
video_09,Pescador,34291,2,2
video_09,Pescador,34321,1,2
video_09,Pescador,34351,1,2
video_09,Pescador,34381,2,2
video_09,Pescador,34411,2,2
video_09,Pescador,34441,2,2
video_09,Pescador,34471,2,2
video_09,Pescador,34501,1,1
video_09,Pescador,34561,1,0
video_09,Pescador,34591,1,0
video_09,Pescador,34621,1,1
video_09,Pescador,34651,1,1
video_09,Pescador,35071,1,1
video_09,Pescador,35101,1,1
video_09,Pescador,35131,2,2
video_09,Pescador,35161,1,2
video_09,Pescador,35191,1,2
video_09,Pescador,35221,1,2
video_09,Pescador,35251,1,3
video_09,Pescador,35281,2,2
video_09,Pescador,35311,2,2
video_09,Pescador,35341,1,1
video_09,Pescador,35371,1,1
video_09,Pescador,35401,2,2
video_09,Pescador,35431,2,2
video_09,Pescador,35461,2,2
video_09,Pescador,35491,3,2
video_09,Pescador,35521,3,2
video_09,Pescador,35551,3,3
video_09,Pescador,35581,3,2
video_09,Pescador,35611,3,2
video_09,Pescador,35641,3,2
video_09,Pescador,35671,4,2
video_09,Pescador,35701,4,2
video_09,Pescador,35731,4,1
video_09,Pescador,35761,3,1
video_09,Pescador,35791,3,3
video_09,Pescador,35821,3,2
video_09,Pescador,35851,2,2
video_09,Pescador,35881,2,2
video_09,Pescador,35911,0,2
video_09,Pescador,35941,2,3
video_09,Pescador,35971,2,4
video_09,Pescador,36001,2,4
video_09,Pescador,36031,2,3
video_09,Pescador,36061,2,3
video_09,Pescador,36091,2,1
video_09,Pescador,36121,3,2
video_09,Pescador,36151,2,1
video_09,Pescador,36181,2,1
video_09,Pescador,36211,2,1
video_09,Pescador,36241,2,2
video_09,Pescador,36271,2,2
video_09,Pescador,36301,2,2
video_09,Pescador,36331,3,1
video_09,Pescador,36361,2,1
video_09,Pescador,36391,2,2
video_09,Pescador,36421,2,2
video_09,Pescador,36451,2,2
video_09,Pescador,36481,1,2
video_09,Pescador,36511,1,1
video_09,Pescador,36541,2,2
video_09,Pescador,36571,2,3
video_09,Pescador,36601,2,2
video_09,Pescador,36631,2,2
video_09,Pescador,36661,2,3
video_09,Pescador,36691,3,4
video_09,Pescador,36721,4,4
video_09,Pescador,36751,2,3
video_09,Pescador,36781,2,2
video_09,Pescador,36811,2,2
video_09,Pescador,36841,2,1
video_09,Pescador,36871,2,2
video_09,Pescador,36901,2,1
video_09,Pescador,36931,1,1
video_09,Pescador,36961,2,1
video_09,Pescador,36991,2,1
video_09,Pescador,37021,3,1
video_09,Pescador,37051,2,0
video_09,Pescador,37081,1,2
video_09,Pescador,37111,2,3
video_09,Pescador,37141,2,3
video_09,Pescador,37171,2,3
video_09,Pescador,37201,3,3
video_09,Pescador,37231,3,1
video_09,Pescador,37261,2,2
video_09,Pescador,37291,0,1
video_09,Pescador,37321,1,2
video_09,Pescador,37351,1,2
video_09,Pescador,37381,1,2
video_09,Pescador,37411,1,1
video_09,Pescador,37441,1,1
video_09,Pescador,37471,1,1
video_09,Pescador,37501,0,1
video_09,Pescador,37531,2,2
video_09,Pescador,37561,2,3
video_09,Pescador,37591,2,1
video_09,Pescador,37621,1,1
video_09,Pescador,37651,2,0
video_09,Pescador,37681,1,1
video_09,Pescador,37711,1,2
video_09,Pescador,37741,2,3
video_09,Pescador,37771,2,2
video_09,Pescador,37801,1,1
video_09,Pescador,37861,1,0
video_09,Pescador,38071,0,2
video_09,Pescador,38101,0,2
video_09,Pescador,38131,2,3
video_09,Pescador,38161,2,3
video_09,Pescador,38191,1,3
video_09,Pescador,38221,3,3
video_09,Pescador,38251,1,3
video_09,Pescador,38281,1,3
video_09,Pescador,38311,3,4
video_09,Pescador,38341,3,4
video_09,Pescador,38371,3,4
video_09,Pescador,38401,3,3
video_09,Pescador,38431,3,3
video_09,Pescador,38461,3,3
video_09,Pescador,38491,2,2
video_09,Pescador,38521,3,3
video_09,Pescador,38551,3,3
video_09,Pescador,38581,2,2
video_09,Pescador,38611,2,2
video_09,Pescador,38641,2,2
video_09,Pescador,38671,2,1
video_09,Pescador,38701,1,1
video_09,Pescador,38731,1,1
video_09,Pescador,38761,1,1
video_09,Pescador,38791,1,1
video_09,Pescador,38821,2,2
video_09,Pescador,38851,2,2
video_09,Pescador,38881,1,2
video_09,Pescador,38911,1,2
video_09,Pescador,38941,1,2
video_09,Pescador,38971,2,1
video_09,Pescador,39001,1,0
video_09,Pescador,39151,1,1
video_09,Pescador,39181,1,1
video_09,Pescador,39211,1,1
video_09,Pescador,39241,1,1
video_09,Pescador,39271,1,1
video_09,Pescador,39301,1,1
video_09,Pescador,39481,1,1
video_09,Pescador,39511,2,1
video_09,Pescador,39541,3,2
video_09,Pescador,39571,3,3
video_09,Pescador,39601,2,3
video_09,Pescador,39631,3,2
video_09,Pescador,39661,3,2
video_09,Pescador,39691,3,3
video_09,Pescador,39721,3,3
video_09,Pescador,39751,3,3
video_09,Pescador,39781,3,3
video_09,Pescador,39811,2,2
video_09,Pescador,39841,2,2
video_09,Pescador,39871,2,2
video_09,Pescador,39901,2,3
video_09,Pescador,39931,1,1
video_09,Pescador,39961,1,1
video_09,Pescador,39991,1,1
video_09,Pescador,40021,1,1
video_09,Pescador,40051,0,1
video_09,Pescador,40081,3,1
video_09,Pescador,40111,1,1
video_09,Pescador,40141,1,1
video_09,Pescador,40171,1,2
video_09,Pescador,40201,1,2
video_09,Pescador,40231,2,2
video_09,Pescador,40261,1,1
video_09,Pescador,40291,0,1
video_09,Pescador,40321,1,1
video_09,Pescador,40351,1,1
video_09,Pescador,40381,1,1
video_09,Pescador,40411,1,1
video_09,Pescador,40441,1,1
video_09,Pescador,40471,1,1
video_09,Pescador,40501,1,1
video_09,Pescador,40531,1,1
video_09,Pescador,40561,1,1
video_09,Pescador,40591,1,1
video_09,Pescador,40621,1,1
video_09,Pescador,40651,2,1
video_09,Pescador,40681,2,1
video_09,Pescador,40711,2,2
video_09,Pescador,40741,2,1
video_09,Pescador,40771,2,1
video_09,Pescador,40801,1,1
video_09,Pescador,40831,1,1
video_09,Pescador,40861,1,2
video_09,Pescador,40891,1,2
video_09,Pescador,40921,1,1
video_09,Pescador,40951,1,0
video_09,Pescador,40981,1,0
video_09,Pescador,41041,1,0
video_09,Pescador,41071,1,1
video_09,Pescador,41101,1,1
video_09,Pescador,41131,1,0
video_09,Pescador,41161,1,0
video_09,Pescador,41251,1,2
video_09,Pescador,41281,2,2
video_09,Pescador,41311,1,2
video_09,Pescador,41341,2,1
video_09,Pescador,41371,2,1
video_09,Pescador,41401,1,1
video_09,Pescador,41431,2,1
video_09,Pescador,41461,2,2
video_09,Pescador,41491,2,2
video_09,Pescador,41521,2,2
video_09,Pescador,41551,1,1
video_09,Pescador,41581,1,1
video_09,Pescador,41611,1,1
video_09,Pescador,41641,1,1
video_09,Pescador,41671,1,1
video_09,Pescador,41701,1,1
video_09,Pescador,41731,1,1
video_09,Pescador,41761,1,1
video_09,Pescador,41791,1,1
video_09,Pescador,41821,1,1
video_09,Pescador,41851,1,1
video_09,Pescador,41881,1,1
video_09,Pescador,41911,1,1
video_09,Pescador,41941,1,1
video_09,Pescador,41971,1,1
video_09,Pescador,42001,1,1
video_09,Pescador,42031,1,0
video_09,Pescador,42061,1,0
video_09,Pescador,42091,1,0
video_09,Pescador,42121,2,2
video_09,Pescador,42151,2,2
video_09,Pescador,42181,1,1
video_09,Pescador,42211,1,2
video_09,Pescador,42241,2,2
video_09,Pescador,42271,2,2
video_09,Pescador,42301,3,2
video_09,Pescador,42331,2,2
video_09,Pescador,42361,1,2
video_09,Pescador,42391,1,2
video_13,Rincon,2761,1,0
video_13,Rincon,6331,1,0
video_13,Rincon,6361,1,0
video_13,Rincon,6631,1,0
video_13,Rincon,10681,1,0
video_13,Rincon,31711,0,1
video_13,Rincon,31741,0,1
video_13,Rincon,32491,0,1
video_13,Rincon,32521,0,1
video_13,Rincon,32551,0,1
video_13,Rincon,32581,0,1
video_13,Rincon,32611,0,1
video_13,Rincon,32641,0,1
video_13,Rincon,32671,1,1
video_13,Rincon,32701,1,1
